level,target,donor,group size,imputed-value tercile,n,mean multiplier,median,sd
single day,Copalis,Long Beach,1,small,37,2.07498508935934,1.77229046988854,1.16608022424562
single day,Copalis,Long Beach,1,mid,55,1.25277332669883,1.00148943847359,0.696277909112665
single day,Copalis,Long Beach,1,large,94,0.861796124118347,0.749823510501002,0.40789221181393
single day,Copalis,Mocrocks,1,small,21,1.62208683876305,1.27814937549417,1.1332006206057
single day,Copalis,Mocrocks,1,mid,57,1.34570370768755,1.23455517594766,0.564057022226573
single day,Copalis,Mocrocks,1,large,78,0.909889746020957,0.805370130706869,0.396491727091539
single day,Copalis,Twin Harbors,1,small,45,1.37410667882175,1.20892834833254,0.912320818141106
single day,Copalis,Twin Harbors,1,mid,60,1.11853767709455,1.08307962983935,0.434987128441409
single day,Copalis,Twin Harbors,1,large,85,0.955336800826177,0.87825181723832,0.43866528627836
single day,Long Beach,Copalis,1,small,51,1.57605971016233,1.29974470223308,1.16218821108939
single day,Long Beach,Copalis,1,mid,51,1.08280172800686,1.06802976543184,0.560613514710568
single day,Long Beach,Copalis,1,large,84,1.03355058722458,0.864136876474975,0.536787506044216
single day,Long Beach,Copalis+Mocrocks,1,mid,25,1.19913031929206,1.23333528862966,0.463028280806395
single day,Long Beach,Copalis+Mocrocks,1,large,67,1.04354802288109,0.890259755354238,0.468304723703589
single day,Long Beach,Mocrocks,1,small,78,1.56347940182373,1.11430602997684,1.20651544007788
single day,Long Beach,Mocrocks,1,mid,65,1.16040304428677,0.967500378822081,0.667989277735237
single day,Long Beach,Mocrocks,1,large,103,0.963356492319064,0.88751063389339,0.540212888219495
single day,Long Beach,Twin Harbors,1,small,115,1.24806991109559,1.08251792964825,0.884123329525754
single day,Long Beach,Twin Harbors,1,mid,82,1.13583801077621,1.02023517753293,0.609440027918219
single day,Long Beach,Twin Harbors,1,large,124,0.979334869790303,0.875927227145329,0.435001552432374
single day,Mocrocks,Copalis,1,small,51,1.21909241212397,1.17334245869115,0.533238444874312
single day,Mocrocks,Copalis,1,mid,66,1.14516804746475,1.04722840313623,0.546382931575091
single day,Mocrocks,Copalis,1,large,39,0.780081884075282,0.754760241299231,0.312302222138118
single day,Mocrocks,Long Beach,1,small,88,1.78879206521363,1.43267618838835,1.17950411280643
single day,Mocrocks,Long Beach,1,mid,90,1.07076081939603,0.978634374959781,0.532662309735389
single day,Mocrocks,Long Beach,1,large,68,0.799912457785807,0.698027035754893,0.453047991177709
single day,Mocrocks,Twin Harbors,1,small,108,1.33318401719559,1.09147564002665,0.932858220034531
single day,Mocrocks,Twin Harbors,1,mid,93,1.0976747670221,0.981077010922835,0.59554125289042
single day,Mocrocks,Twin Harbors,1,large,57,0.817556196244213,0.787034910620382,0.356511076888711
single day,Twin Harbors,Copalis,1,small,86,1.27904986346992,1.17969695615923,0.767634412103711
single day,Twin Harbors,Copalis,1,mid,66,1.0596867144039,1.01408266476277,0.424218749991805
single day,Twin Harbors,Copalis,1,large,38,0.81895513735345,0.787794690764515,0.244812074783411
single day,Twin Harbors,Copalis+Mocrocks,1,small,25,1.22173983302576,1.08134621090945,0.416135600298552
single day,Twin Harbors,Copalis+Mocrocks,1,mid,32,1.03412698194597,1.00012852196347,0.37943200748223
single day,Twin Harbors,Copalis+Mocrocks,1,large,21,0.865713054637659,0.798140295387252,0.313862575539255
single day,Twin Harbors,Long Beach,1,small,130,1.58795429699974,1.37705348671121,0.939237397772898
single day,Twin Harbors,Long Beach,1,mid,130,1.0496625832526,0.962207409080566,0.464400549525734
single day,Twin Harbors,Long Beach,1,large,61,0.778130172727026,0.667817641499207,0.41220313287238
single day,Twin Harbors,Mocrocks,1,small,123,1.40208300224692,1.22434134912697,0.842384725110219
single day,Twin Harbors,Mocrocks,1,mid,91,1.08031348868675,0.972579047994756,0.562889916202189
single day,Twin Harbors,Mocrocks,1,large,44,0.751485396177228,0.685141329701301,0.327981013857002
tide-series sum,Copalis,Long Beach,2,small,13,0.999900257624431,0.948786663479242,0.254228738560161
tide-series sum,Copalis,Long Beach,2,mid,22,0.854219904499512,0.935077988744196,0.243680113591206
tide-series sum,Copalis,Long Beach,2,large,38,0.828018372636685,0.882604816166753,0.225353718587935
tide-series sum,Copalis,Long Beach,3-4,large,10,0.972632100252741,0.927857877193244,0.137086605516999
tide-series sum,Copalis,Mocrocks,2,mid,18,0.977546165174576,0.980634189376459,0.0754208748420363
tide-series sum,Copalis,Mocrocks,2,large,22,0.917205356612096,0.905857177450181,0.14625378187195
tide-series sum,Copalis,Mocrocks,3-4,large,14,0.995789218251649,1.014629423729,0.142955567341232
tide-series sum,Copalis,Twin Harbors,2,small,18,0.960162980307758,0.978699802432271,0.223278086809358
tide-series sum,Copalis,Twin Harbors,2,mid,23,0.955606948335129,0.991884913063303,0.207123981032913
tide-series sum,Copalis,Twin Harbors,2,large,25,0.942444438124119,0.981479910969484,0.119016866823876
tide-series sum,Copalis,Twin Harbors,3-4,large,11,0.9579803892494,0.934893255930939,0.177055555384879
tide-series sum,Long Beach,Copalis,2,small,29,1.27955189505166,1.13279763017333,0.499745841121372
tide-series sum,Long Beach,Copalis,2,mid,16,0.99251599316149,0.98984256427498,0.257186470401213
tide-series sum,Long Beach,Copalis,2,large,28,0.979081040474393,0.978651121241316,0.139090089210121
tide-series sum,Long Beach,Copalis+Mocrocks,2,mid,10,1.06649045961175,1.05443940416713,0.111372703707089
tide-series sum,Long Beach,Copalis+Mocrocks,2,large,23,0.994186535052281,0.986302772734772,0.136129964922557
tide-series sum,Long Beach,Mocrocks,2,small,26,1.13636357228243,0.994119367543783,0.490957292790818
tide-series sum,Long Beach,Mocrocks,2,mid,18,1.0189056280915,1.01302446361884,0.190865235179251
tide-series sum,Long Beach,Mocrocks,2,large,29,0.930230230952269,0.95379003436465,0.107830125116143
tide-series sum,Long Beach,Mocrocks,3-4,large,16,1.00941933175771,0.999599298489189,0.237035660312548
tide-series sum,Long Beach,Twin Harbors,2,small,30,1.10375453611135,0.98238161663731,0.506337326640503
tide-series sum,Long Beach,Twin Harbors,2,large,27,0.923964769747205,0.957850906483714,0.106117305321201
tide-series sum,Long Beach,Twin Harbors,3-4,small,13,0.989758070068997,0.902889067054157,0.225400704614143
tide-series sum,Long Beach,Twin Harbors,3-4,mid,12,1.14154920303631,1.04383424172426,0.282886598713901
tide-series sum,Long Beach,Twin Harbors,3-4,large,16,0.89331872247967,0.910775534010248,0.128522639556594
tide-series sum,Long Beach,Twin Harbors,5+,large,10,1.02418749109572,0.96326228362399,0.183486060592431
tide-series sum,Mocrocks,Copalis,2,small,20,0.974388188848225,0.969177707173833,0.112999552850841
tide-series sum,Mocrocks,Copalis,2,mid,18,0.983708751407183,0.993017375921773,0.0906118653983305
tide-series sum,Mocrocks,Copalis,3-4,large,10,0.902792937415614,0.904280866122902,0.093142623328166
tide-series sum,Mocrocks,Long Beach,2,small,28,0.960436797902242,1.0086846989246,0.165709050640732
tide-series sum,Mocrocks,Long Beach,2,mid,31,0.884814344206994,0.967342079187359,0.220577376982575
tide-series sum,Mocrocks,Long Beach,2,large,14,0.801515870787166,0.842877616285316,0.245283204907618
tide-series sum,Mocrocks,Long Beach,3-4,mid,12,0.926306770333161,0.933950610219773,0.148352598244737
tide-series sum,Mocrocks,Long Beach,3-4,large,10,0.877408037507157,0.887488767539804,0.204943337122116
tide-series sum,Mocrocks,Twin Harbors,2,small,42,1.03425543558975,0.999167146693944,0.224872094918201
tide-series sum,Mocrocks,Twin Harbors,2,mid,28,0.970661413791678,0.998102195297573,0.202517830475719
tide-series sum,Mocrocks,Twin Harbors,2,large,14,0.795434780836744,0.817185742121348,0.216105211121316
tide-series sum,Mocrocks,Twin Harbors,3-4,mid,11,0.895130946083984,0.936373534218818,0.166984973098856
tide-series sum,Twin Harbors,Copalis,2,small,35,1.11394195217186,0.997850165028731,0.500215377372891
tide-series sum,Twin Harbors,Copalis,2,mid,29,0.938665595793477,0.950461045662276,0.111395847620906
tide-series sum,Twin Harbors,Copalis,3-4,mid,10,1.04733546170727,1.03875425892264,0.191078994765391
tide-series sum,Twin Harbors,Copalis+Mocrocks,2,small,11,0.997049399512554,1.00039465496258,0.0511419700614128
tide-series sum,Twin Harbors,Copalis+Mocrocks,2,mid,15,0.972964564859463,0.977624884721109,0.0967069748996395
tide-series sum,Twin Harbors,Long Beach,2,small,29,0.97884002748671,0.992059066337089,0.211002141133107
tide-series sum,Twin Harbors,Long Beach,2,mid,27,0.9371745354461,1.00031263347374,0.18994997642439
tide-series sum,Twin Harbors,Long Beach,3-4,small,12,1.03782198997141,1.06306078971318,0.119568768962686
tide-series sum,Twin Harbors,Long Beach,3-4,mid,17,0.98300480524956,0.983566047717917,0.164807182041493
tide-series sum,Twin Harbors,Long Beach,3-4,large,12,0.899052686296456,0.930670210549832,0.286179410656249
tide-series sum,Twin Harbors,Mocrocks,2,small,46,1.00704642696099,0.99777548771889,0.210376019582423
tide-series sum,Twin Harbors,Mocrocks,2,mid,33,0.963142169748923,0.98329807810593,0.182295729246204
tide-series sum,Twin Harbors,Mocrocks,3-4,mid,16,0.994454818805862,1.0170925622368,0.184448121584558
Long Beach half,Long Beach,other section,1,small,48,1.272803360369,1.2282358772495,0.226843568542041
Long Beach half,Long Beach,other section,1,large,48,0.809462630798994,0.818023311069001,0.126137294090531
